"card_id","card_code","slug","command","card_slug","ancien_card_id","allocation","graine"
"dfbbfb65-4091-5fbf-b324-27ab4be3e96e","RCIA-C-001110","editorial-urbain-ivoirien-nuit-de-ville","/abidjaneditorial","editorial-urbain-ivoirien-nuit-de-ville","","uuid5_brouillon_hors_kit","raccourcia:brouillon:editorial-urbain-ivoirien-nuit-de-ville"
"f2b0699c-fea1-55f5-8aa0-caaccffae8e8","RCIA-C-001111","adcampaignset","/adcampaignset","pack-de-campagne","","uuid5_brouillon_hors_kit","raccourcia:brouillon:adcampaignset"
"c340c3cb-e128-543b-bac3-3a1378b1b4bc","RCIA-C-001112","aerialproperty","/aerialproperty","vue-aerienne-immobiliere","","uuid5_brouillon_hors_kit","raccourcia:brouillon:aerialproperty"
"09e2f5f8-098c-58b5-8c38-95f497d35d80","RCIA-C-001113","airbnbhero","/airbnbhero","hero-location-courte-duree","","uuid5_brouillon_hors_kit","raccourcia:brouillon:airbnbhero"
"f6a7f2e8-29c9-5667-be85-437c457f2c00","RCIA-C-001114","airflowview","/airflowview","flux-d-air-visualise","","uuid5_brouillon_hors_kit","raccourcia:brouillon:airflowview"
"bb17a8d2-450c-52eb-bc1d-b8d09380b548","RCIA-C-001115","airportfit","/airportfit","airport-fit","","uuid5_brouillon_hors_kit","raccourcia:brouillon:airportfit"
"5712ad34-6847-5b08-b3f0-578b2e03dadc","RCIA-C-001116","anatomie-en-coupe-structures-essentielles","/anatomycutaway","anatomie-en-coupe-structures-essentielles","","uuid5_brouillon_hors_kit","raccourcia:brouillon:anatomie-en-coupe-structures-essentielles"
"7ce322e8-2157-5a3d-82d1-a370c2e5aeb3","RCIA-C-001117","animeportrait","/animeportrait","portrait-animation-japonaise","","uuid5_brouillon_hors_kit","raccourcia:brouillon:animeportrait"
"eeee90d5-f157-548f-8900-b0bd238232c7","RCIA-C-001118","maison-en-coupe-dollhouse-habitee","/architecturecutaway","maison-en-coupe-dollhouse-habitee","","uuid5_brouillon_hors_kit","raccourcia:brouillon:maison-en-coupe-dollhouse-habitee"
"a2096835-a20a-5e99-b38c-f0fb5a2a286e","RCIA-C-001119","assembly","/assembly","guide-d-assemblage","img-assembly","uuid5_brouillon_hors_kit","raccourcia:brouillon:assembly"
