"card_id","card_code","previous_card_id","source_card_id","previous_record_key","record_key","slug","command_id","allocation","production_card_id","production_resolution"
"62540c67-dc47-599f-b1a2-29fbc7799f3d","RCIA-C-000001","62540c67-dc47-599f-b1a2-29fbc7799f3d","62540c67-dc47-599f-b1a2-29fbc7799f3d","raccourcia/animecityportrait-pluie-neon","card:62540c67-dc47-599f-b1a2-29fbc7799f3d","animecityportrait-pluie-neon","6db83801-76d6-54ec-8927-0f07134ddd6d","uuid_conserve","","rapprocher_id_source_puis_slug_et_enregistrer_correspondance"
"28dcb94f-e380-55ea-8c70-cbffb5e2e4c2","RCIA-C-000002","28dcb94f-e380-55ea-8c70-cbffb5e2e4c2","28dcb94f-e380-55ea-8c70-cbffb5e2e4c2","raccourcia/comicpage-ligne-claire","card:28dcb94f-e380-55ea-8c70-cbffb5e2e4c2","comicpage-ligne-claire","48774ad0-0dae-51a0-8391-6d345e878581","uuid_conserve","","rapprocher_id_source_puis_slug_et_enregistrer_correspondance"
"1db21c53-db7d-5a96-b4cd-6bc66bf3adf7","RCIA-C-000003","1db21c53-db7d-5a96-b4cd-6bc66bf3adf7","1db21c53-db7d-5a96-b4cd-6bc66bf3adf7","raccourcia/comicpage-manga","card:1db21c53-db7d-5a96-b4cd-6bc66bf3adf7","comicpage-manga","48774ad0-0dae-51a0-8391-6d345e878581","uuid_conserve","","rapprocher_id_source_puis_slug_et_enregistrer_correspondance"
"548d42fd-2bfb-53f9-a8ba-12c0bde7ef9f","RCIA-C-000004","548d42fd-2bfb-53f9-a8ba-12c0bde7ef9f","548d42fd-2bfb-53f9-a8ba-12c0bde7ef9f","raccourcia/comicpage-webtoon","card:548d42fd-2bfb-53f9-a8ba-12c0bde7ef9f","comicpage-webtoon","48774ad0-0dae-51a0-8391-6d345e878581","uuid_conserve","","rapprocher_id_source_puis_slug_et_enregistrer_correspondance"
"136b9a0f-f04c-51ec-88fa-e63c17930f56","RCIA-C-000005","136b9a0f-f04c-51ec-88fa-e63c17930f56","136b9a0f-f04c-51ec-88fa-e63c17930f56","raccourcia/comicpanelstory-couverture-comic","card:136b9a0f-f04c-51ec-88fa-e63c17930f56","comicpanelstory-couverture-comic","4495c9e4-595e-5b27-887e-dfd11aec65f3","uuid_conserve","","rapprocher_id_source_puis_slug_et_enregistrer_correspondance"
"c97c0d8f-b014-58e5-b20d-58058f582692","RCIA-C-000006","c97c0d8f-b014-58e5-b20d-58058f582692","c97c0d8f-b014-58e5-b20d-58058f582692","raccourcia/comicpanelstory-page-action","card:c97c0d8f-b014-58e5-b20d-58058f582692","comicpanelstory-page-action","4495c9e4-595e-5b27-887e-dfd11aec65f3","uuid_conserve","","rapprocher_id_source_puis_slug_et_enregistrer_correspondance"
"5eb77fc0-6076-527f-a6cb-edd6bfa169a5","RCIA-C-000007","5eb77fc0-6076-527f-a6cb-edd6bfa169a5","5eb77fc0-6076-527f-a6cb-edd6bfa169a5","raccourcia/comicpanelstory-trois-cases","card:5eb77fc0-6076-527f-a6cb-edd6bfa169a5","comicpanelstory-trois-cases","4495c9e4-595e-5b27-887e-dfd11aec65f3","uuid_conserve","","rapprocher_id_source_puis_slug_et_enregistrer_correspondance"
"2cc2465d-f89c-5585-bb28-08ab79300e74","RCIA-C-000008","2cc2465d-f89c-5585-bb28-08ab79300e74","2cc2465d-f89c-5585-bb28-08ab79300e74","raccourcia/giantcompanion-stade","card:2cc2465d-f89c-5585-bb28-08ab79300e74","giantcompanion-stade","4e05a8a8-0f7f-5b1f-8dfe-27753bed23db","uuid_conserve","","rapprocher_id_source_puis_slug_et_enregistrer_correspondance"
"4be2a4a4-2188-5339-a08d-7f143ed0d442","RCIA-C-000009","4be2a4a4-2188-5339-a08d-7f143ed0d442","4be2a4a4-2188-5339-a08d-7f143ed0d442","raccourcia/retrocartoonscene-annees-60","card:4be2a4a4-2188-5339-a08d-7f143ed0d442","retrocartoonscene-annees-60","39205192-edb1-52aa-ae23-4afbea9490cb","uuid_conserve","","rapprocher_id_source_puis_slug_et_enregistrer_correspondance"
"a50722bd-f6b4-5d7a-afdb-c2ceedd0d602","RCIA-C-000010","a50722bd-f6b4-5d7a-afdb-c2ceedd0d602","a50722bd-f6b4-5d7a-afdb-c2ceedd0d602","raccourcia/storyboard-storyboard-cinema","card:a50722bd-f6b4-5d7a-afdb-c2ceedd0d602","storyboard-storyboard-cinema","3de071ae-2bf4-5de2-9314-0d7a4f24b752","uuid_conserve","","rapprocher_id_source_puis_slug_et_enregistrer_correspondance"
"6d74f866-b808-5143-b7fc-db19835e1f58","RCIA-C-000011","6d74f866-b808-5143-b7fc-db19835e1f58","6d74f866-b808-5143-b7fc-db19835e1f58","raccourcia/storyboard-storyboard-pub","card:6d74f866-b808-5143-b7fc-db19835e1f58","storyboard-storyboard-pub","3de071ae-2bf4-5de2-9314-0d7a4f24b752","uuid_conserve","","rapprocher_id_source_puis_slug_et_enregistrer_correspondance"
"8eac796f-bd4e-579b-bf85-2bf1f0658019","RCIA-C-000012","8eac796f-bd4e-579b-bf85-2bf1f0658019","8eac796f-bd4e-579b-bf85-2bf1f0658019","raccourcia/toonencounter3d-compagnons-heroique","card:8eac796f-bd4e-579b-bf85-2bf1f0658019","toonencounter3d-compagnons-heroique","1e114b08-0b90-5b22-8564-5b728b904407","uuid_conserve","","rapprocher_id_source_puis_slug_et_enregistrer_correspondance"
"d2cc4660-28fb-539d-a974-b20fe1e8ea4e","RCIA-C-000013","","","raccourcia/retrofuture","card:d2cc4660-28fb-539d-a974-b20fe1e8ea4e","retrofuture","6079200f-04b9-54a3-966c-a2ca6bdc1b92","uuid5_depuis_cle_source","","rapprocher_id_source_puis_slug_et_enregistrer_correspondance"
"51731b64-1999-51c3-9c60-03e27164d291","RCIA-C-000014","51731b64-1999-51c3-9c60-03e27164d291","51731b64-1999-51c3-9c60-03e27164d291","raccourcia/billboardescape-abribus-vivant","card:51731b64-1999-51c3-9c60-03e27164d291","billboardescape-abribus-vivant","e7487a11-843d-53cc-8f4d-8109f3e08045","uuid_conserve","","rapprocher_id_source_puis_slug_et_enregistrer_correspondance"
"83a8f712-9d4b-53a0-bb16-4f537b99d47c","RCIA-C-000015","83a8f712-9d4b-53a0-bb16-4f537b99d47c","83a8f712-9d4b-53a0-bb16-4f537b99d47c","raccourcia/cutoutreality-l-affiche-retournee","card:83a8f712-9d4b-53a0-bb16-4f537b99d47c","cutoutreality-l-affiche-retournee","48835cd6-2e8e-5ad1-a2c0-c69602b66701","uuid_conserve","","rapprocher_id_source_puis_slug_et_enregistrer_correspondance"
"5f14fffa-9088-5a47-8b37-0b602a6c1d0f","RCIA-C-000016","5f14fffa-9088-5a47-8b37-0b602a6c1d0f","5f14fffa-9088-5a47-8b37-0b602a6c1d0f","raccourcia/cutoutreality-la-porte-en-papier","card:5f14fffa-9088-5a47-8b37-0b602a6c1d0f","cutoutreality-la-porte-en-papier","48835cd6-2e8e-5ad1-a2c0-c69602b66701","uuid_conserve","","rapprocher_id_source_puis_slug_et_enregistrer_correspondance"
"67640ea0-f06b-5c7b-9577-ecf9bb0614a8","RCIA-C-000017","67640ea0-f06b-5c7b-9577-ecf9bb0614a8","67640ea0-f06b-5c7b-9577-ecf9bb0614a8","raccourcia/dioramaportrait-boite-de-souvenirs","card:67640ea0-f06b-5c7b-9577-ecf9bb0614a8","dioramaportrait-boite-de-souvenirs","4453325f-7048-5974-9937-370ee47be985","uuid_conserve","","rapprocher_id_source_puis_slug_et_enregistrer_correspondance"
"3c072809-e249-5c36-a629-119eca15346b","RCIA-C-000018","3c072809-e249-5c36-a629-119eca15346b","3c072809-e249-5c36-a629-119eca15346b","raccourcia/dioramaportrait-maison-ouverte","card:3c072809-e249-5c36-a629-119eca15346b","dioramaportrait-maison-ouverte","4453325f-7048-5974-9937-370ee47be985","uuid_conserve","","rapprocher_id_source_puis_slug_et_enregistrer_correspondance"
"865059e2-9e09-54d5-bd90-34616f26c996","RCIA-C-000019","865059e2-9e09-54d5-bd90-34616f26c996","865059e2-9e09-54d5-bd90-34616f26c996","raccourcia/emberportrait-braises-flottantes","card:865059e2-9e09-54d5-bd90-34616f26c996","emberportrait-braises-flottantes","c1aa3ab9-4b96-506e-9d01-8364fad7d96b","uuid_conserve","","rapprocher_id_source_puis_slug_et_enregistrer_correspondance"
"f143af24-781c-56d8-80b6-e9d3d45a23bc","RCIA-C-000020","f143af24-781c-56d8-80b6-e9d3d45a23bc","f143af24-781c-56d8-80b6-e9d3d45a23bc","raccourcia/epicarrival-couloir-de-lumiere","card:f143af24-781c-56d8-80b6-e9d3d45a23bc","epicarrival-couloir-de-lumiere","d4b61176-cba8-5ed8-a10c-aeb011873b06","uuid_conserve","","rapprocher_id_source_puis_slug_et_enregistrer_correspondance"
